timestamp,BPOGX,BPOGY,LPD,LPV,RPD,RPV
1675251361277,660,343,15.46818,1,14.94046,1
1675251361284,660,349,15.98954,1,14.80821,1
1675251361291,641,281,15.77969,1,15.09323,1
1675251361298,635,288,15.58222,1,14.97498,1
1675251361304,635,283,15.8659,1,14.59407,1
1675251361311,618,313,15.77366,1,14.56605,1
1675251361317,560,246,14.75462,1,14.53851,1
1675251361324,561,251,16.35519,1,14.84095,1
1675251361331,367,410,16.42656,1,15.62382,1
1675251361338,364,368,15.31829,1,15.2028,1
1675251361344,363,364,15.36462,1,15.0563,1
1675251361352,336,416,15.54868,1,15.39445,1
1675251361357,386,436,16.07028,1,15.06386,1
1675251361364,391,453,15.93561,1,15.12524,1
1675251361371,354,452,15.41774,1,15.53432,1
1675251361378,335,446,15.42803,1,15.65672,1
1675251361385,325,420,15.99121,1,14.99631,1
1675251361393,315,393,16.27071,1,15.59074,1
1675251361403,308,234,15.75215,1,15.59074,1
1675251361413,335,311,16.17641,1,15.164,1
1675251361418,268,271,15.73009,1,15.07876,1
1675251361425,274,286,16.44497,1,15.73841,1
1675251361432,333,337,16.15464,1,15.71558,1
1675251361439,328,333,15.85764,1,15.71179,1
1675251361445,340,366,15.84561,1,15.67801,1
1675251361452,340,389,16.21916,1,16.07933,1
1675251361459,348,417,16.31987,1,16.05927,1
1675251361466,354,434,16.5906,1,15.71413,1
1675251361472,337,418,16.03081,1,15.88473,1
1675251361479,336,418,16.36088,1,15.87951,1
1675251361485,336,418,16.10646,1,15.92059,1
1675251361492,376,440,16.5323,1,15.96597,1
1675251361499,381,436,16.39501,1,15.97162,1
1675251361506,381,436,16.15061,1,15.47468,1
1675251361513,361,418,16.2122,1,15.57051,1
1675251361519,350,395,16.57414,1,15.48468,1
1675251361525,346,381,16.58768,1,15.41161,1
1675251361532,342,372,16.5998,1,16.03494,1
1675251361539,255,381,15.32687,1,15.53483,1
1675251361546,253,377,16.32657,1,15.85978,1
1675251361553,196,337,16.05118,1,15.32889,1
1675251361560,197,392,16.02481,1,15.37451,1
1675251361565,199,397,16.09336,1,15.41657,1
1675251361572,182,409,16.03465,1,15.38474,1
1675251361579,193,370,16.22214,1,15.59558,1
1675251361586,191,365,15.84273,1,15.6497,1
1675251361593,196,390,15.53463,1,15.72395,1
1675251361600,201,400,15.60973,1,15.63275,1
1675251361607,215,428,15.60973,1,15.84051,1
1675251361613,216,417,15.99148,1,15.62292,1
1675251361619,220,416,15.61257,1,15.80007,1
1675251361627,222,419,15.60973,1,15.63611,1
1675251361633,233,451,15.57183,1,15.50866,1
1675251361640,210,425,15.80458,1,15.44305,1
1675251361647,202,409,15.85255,1,15.62643,1
1675251361653,214,429,15.69558,1,15.36151,1
1675251361660,210,412,15.59875,1,15.15321,1
1675251361666,210,412,15.44613,1,15.12878,1
1675251361673,184,415,15.45143,1,14.45525,1
1675251361680,179,443,15.82104,1,14.45525,1
1675251361687,185,454,15.11124,1,13.98531,1
1675251361693,202,352,15.85186,1,15.611,1
1675251361700,219,369,15.42363,1,15.33492,1
1675251361707,214,359,14.71882,1,14.18141,1
1675251361713,225,201,14.69773,1,14.27771,1
1675251361720,201,171,14.89773,1,14.21271,1
1675251361728,185,130,14.79329,1,14.37347,1
1675251361733,173,107,14.90101,1,14.08035,1
1675251361740,180,94,14.84699,1,13.98036,1
1675251361747,172,74,14.6943,1,13.99368,1
1675251361754,161,47,14.68647,1,13.86208,1
1675251361760,161,31,14.7089,1,14.01047,1
1675251361767,159,25,14.29134,1,14.06563,1
1675251361773,186,42,14.36877,1,14.06563,1
1675251361780,191,60,14.31888,1,13.99293,1
1675251361787,207,103,14.29071,1,14.00834,1
1675251361794,224,136,14.21603,1,14.02758,1
1675251361801,225,157,14.20341,1,13.97877,1
1675251361807,233,179,14.19065,1,13.88672,1
1675251361814,233,183,14.22057,1,13.8376,1
1675251361820,238,177,14.06109,1,13.73222,1
1675251361827,238,177,14.10481,1,13.58864,1
1675251361833,242,177,14.09181,1,13.62576,1
1675251361840,214,176,14.18814,1,13.63898,1
1675251361848,214,176,14.19981,1,13.58489,1
1675251361854,210,179,14.12656,1,13.37273,1
1675251361860,203,190,14.17351,1,13.51657,1
1675251361867,196,173,14.18579,1,13.4013,1
1675251361874,245,159,13.97071,1,13.31437,1
1675251361881,265,136,13.97071,1,13.43003,1
1675251361887,258,114,13.90642,1,13.41239,1
1675251361895,273,94,14.00619,1,13.35575,1
1675251361900,270,114,13.90316,1,13.65706,1
1675251361907,270,114,13.97823,1,13.43838,1
1675251361914,222,113,13.962,1,13.38788,1
1675251361921,199,97,13.91218,1,13.1949,1
1675251361928,205,114,13.77921,1,13.42284,1
1675251361935,210,147,13.80919,1,13.45803,1
1675251361942,245,172,13.77734,1,13.4734,1
1675251361948,253,194,13.86108,1,13.15356,1
1675251361954,235,211,14.12227,1,13.21131,1
1675251361961,244,192,13.79276,1,13.34656,1
1675251361968,244,192,13.78874,1,13.46655,1
1675251361975,238,158,14.06109,1,13.49304,1
1675251361982,245,193,14.31548,1,13.37074,1
1675251361987,245,193,14.15602,1,13.39469,1
1675251361994,252,210,14.09305,1,13.43097,1
1675251362001,255,170,14.08948,1,13.40915,1
1675251362008,248,152,13.962,1,13.94386,1
1675251362015,303,125,14.17078,1,13.75447,1
1675251362022,297,119,14.03773,1,13.75447,1
1675251362028,290,97,13.962,1,13.3137,1
1675251362035,278,93,13.95225,1,13.52274,1
1675251362041,267,108,14.00619,1,13.38393,1
1675251362048,267,108,14.00619,1,13.53805,1
1675251362055,265,112,14.28296,1,13.74628,1
1675251362062,271,72,14.02035,1,13.53805,1
1675251362068,254,19,14.09193,1,13.74484,1
