timestamp,BPOGX,BPOGY,LPD,LPV,RPD,RPV
1677163452783,386,84,14.561,1,15.10945,1
1677163452788,386,87,14.83036,1,14.99491,1
1677163452794,381,113,14.83605,1,14.95048,1
1677163452802,381,132,14.62284,1,14.90865,1
1677163452808,387,159,14.63367,1,14.98092,1
1677163452816,383,162,14.94794,1,14.75908,1
1677163452822,392,125,14.52489,1,14.85735,1
1677163452829,392,126,14.74436,1,14.72335,1
1677163452835,387,118,14.52651,1,15.24695,1
1677163452843,384,139,14.63788,1,15.23891,1
1677163452849,382,129,14.59984,1,15.16843,1
1677163452855,417,109,14.74096,1,15.28648,1
1677163452863,413,135,14.68829,1,15.72734,1
1677163452868,413,140,14.7968,1,15.72384,1
1677163452876,391,144,14.83131,1,14.97908,1
1677163452882,405,150,14.74514,1,14.89603,1
1677163452888,409,165,14.78898,1,14.87074,1
1677163452896,392,199,14.822,1,14.60428,1
1677163452904,420,179,14.64498,1,15.10727,1
1677163452910,418,170,15.11595,1,15.51569,1
1677163452915,409,194,15.07363,1,15.69415,1
1677163452923,399,135,15.02867,1,15.13494,1
1677163452929,398,130,15.0619,1,15.30331,1
1677163452937,400,110,15.01285,1,15.71882,1
1677163452943,394,107,15.18819,1,15.41543,1
1677163452951,392,96,16.12798,1,14.9542,1
1677163452956,368,108,15.7306,1,15.31665,1
1677163452962,370,78,15.06411,1,15.35349,1
1677163452970,370,84,14.88063,1,15.48315,1
1677163452976,380,128,15.07443,1,15.71037,1
1677163452984,463,119,15.37395,1,15.19354,1
1677163452990,467,140,15.13826,1,15.41784,1
1677163452997,513,195,15.52731,1,15.34743,1
1677163453003,491,210,15.28115,1,15.3084,1
1677163453009,491,210,15.56392,1,15.21205,1
1677163453017,497,207,15.58347,1,15.26079,1
1677163453023,504,212,15.56392,1,15.11692,1
1677163453031,504,212,15.57025,1,15.19777,1
1677163453036,531,192,15.85005,1,15.19538,1
1677163453044,527,194,15.93537,1,15.16483,1
1677163453050,527,194,15.93395,1,14.94157,1
1677163453056,505,199,15.90377,1,15.14515,1
1677163453064,526,179,15.73179,1,15.09824,1
1677163453070,526,179,15.48337,1,15.22656,1
1677163453077,530,197,15.73118,1,15.19538,1
1677163453083,518,237,14.96997,1,15.26779,1
1677163453089,518,237,14.98783,1,15.19839,1
1677163453097,527,195,15.44769,1,15.0581,1
1677163453103,513,198,15.1117,1,15.11559,1
1677163453111,513,198,15.25378,1,15.00362,1
1677163453117,547,203,16.24471,1,15.16429,1
1677163453124,539,239,16.23028,1,15.14523,1
1677163453130,539,239,16.04047,1,15.35326,1
