timestamp,BPOGX,BPOGY,LPD,LPV,RPD,RPV
1671705557950,740,242,17.48735,1,15.36424,1
1671705557957,733,224,17.67636,1,16.07906,1
1671705557963,726,244,17.2263,1,15.91887,1
1671705557970,726,237,18.02918,1,15.95032,1
1671705557977,741,207,17.76042,1,15.92727,1
1671705557983,729,223,17.32036,1,15.5187,1
1671705557990,730,216,17.6343,1,16.08453,1
1671705557997,744,192,17.18903,1,15.20699,1
1671705558005,738,210,17.65103,1,15.53253,1
1671705558011,738,210,17.9223,1,15.99329,1
1671705558017,739,190,17.96561,1,15.97778,1
1671705558024,734,188,17.71483,1,15.8025,1
1671705558030,734,188,18.23935,1,15.92496,1
1671705558037,748,224,17.62209,1,15.22983,1
1671705558044,733,192,18.21723,1,15.4198,1
1671705558051,732,200,17.70366,1,15.89376,1
1671705558057,726,198,17.84147,1,15.36738,1
1671705558064,737,218,17.98934,1,15.73095,1
1671705558071,736,226,18.15121,1,15.91285,1
1671705558077,742,250,18.181,1,15.71206,1
1671705558084,749,227,17.77797,1,15.69145,1
1671705558090,750,219,18.34759,1,15.84614,1
1671705558097,754,215,18.16096,1,15.95574,1
1671705558104,727,191,18.22954,1,15.65806,1
1671705558110,728,183,17.55477,1,15.7178,1
1671705558117,751,185,18.41942,1,15.75299,1
1671705558124,689,193,17.11682,1,15.73184,1
1671705558131,689,197,18.40594,1,16.19257,1
1671705558138,599,216,18.90503,1,16.06763,1
1671705558145,586,250,18.09735,1,16.29144,1
1671705558151,586,257,18.58799,1,15.72875,1
1671705558158,607,282,18.19184,1,16.42285,1
1671705558165,608,258,17.96892,1,16.27208,1
1671705558171,608,269,18.06103,1,15.75841,1
1671705558178,613,279,18.45943,1,16.07469,1
1671705558184,610,292,18.06483,1,16.0313,1
1671705558191,610,292,18.39295,1,15.67901,1
1671705558198,585,255,18.48353,1,16.02099,1
1671705558204,620,258,18.10899,1,16.32086,1
1671705558211,620,255,17.92998,1,16.17571,1
1671705558218,603,270,18.17957,1,16.30432,1
1671705558225,593,274,18.0288,1,15.94833,1
