timestamp,BPOGX,BPOGY,LPD,LPV,RPD,RPV
1677595292037,527,163,13.66997,1,14.30454,1
1677595292044,528,176,13.84079,1,13.17521,1
1677595292051,516,255,13.74838,1,13.09474,1
1677595292057,509,310,13.58889,1,13.96405,1
1677595292064,510,314,14.35598,1,14.23415,1
1677595292070,526,417,13.08294,1,14.27322,1
1677595292078,525,379,13.07322,1,14.01149,1
1677595292084,523,364,13.88987,1,14.13266,1
1677595292091,503,347,13.84275,1,14.05375,1
1677595292098,498,358,13.81388,1,14.2724,1
1677595292104,498,349,13.77393,1,13.88262,1
1677595292111,494,330,13.82902,1,13.97273,1
1677595292118,496,302,13.65951,1,14.08664,1
1677595292124,492,283,13.90495,1,14.11725,1
1677595292131,490,266,13.91669,1,14.02704,1
1677595292138,489,303,13.94072,1,13.9201,1
1677595292145,492,321,14.2109,1,13.88207,1
1677595292151,470,364,14.17546,1,14.07027,1
1677595292158,502,339,14.31497,1,13.97024,1
1677595292164,503,348,14.55928,1,14.21618,1
1677595292171,516,375,14.21134,1,14.04718,1
1677595292178,480,353,14.5929,1,14.13146,1
1677595292184,480,353,14.62966,1,14.02454,1
1677595292191,513,341,14.62966,1,14.24108,1
1677595292198,506,347,13.95373,1,13.97709,1
1677595292205,506,347,13.88414,1,13.86651,1
1677595292211,514,352,13.87783,1,13.54174,1
1677595292218,480,341,14.01021,1,13.48013,1
1677595292225,478,328,13.94072,1,13.94473,1
1677595292231,497,341,13.87842,1,14.01604,1
1677595292238,483,306,13.86615,1,13.8958,1
1677595292245,481,301,14.7964,1,14.18827,1
1677595292251,505,285,14.4814,1,14.26585,1
1677595292258,496,318,14.49776,1,14.20483,1
1677595292265,497,326,14.0616,1,14.08423,1
1677595292272,489,331,14.04302,1,14.00962,1
1677595292279,488,333,14.26252,1,14.21573,1
1677595292285,490,344,14.52623,1,13.47034,1
1677595292292,431,415,14.64567,1,14.07971,1
1677595292299,414,440,14.23381,1,14.34818,1
1677595292305,417,451,14.57283,1,14.63598,1
1677595292312,387,407,14.29289,1,15.115,1
1677595292319,372,422,14.44193,1,15.11753,1
1677595292325,367,404,14.3437,1,14.69179,1
1677595292332,356,389,14.15926,1,14.85651,1
1677595292339,364,395,14.33731,1,14.76575,1
1677595292346,362,391,14.00424,1,14.39593,1
1677595292352,388,360,13.9897,1,14.53081,1
1677595292358,389,387,13.9897,1,14.32762,1
1677595292365,392,395,13.9897,1,14.32777,1
1677595292372,398,385,14.04038,1,14.35779,1
1677595292379,401,401,13.99701,1,14.37536,1
1677595292386,403,408,13.94754,1,14.3003,1
1677595292392,369,388,13.92548,1,13.51101,1
1677595292399,393,412,13.92925,1,13.44364,1
1677595292406,396,423,14.11073,1,13.84583,1
1677595292412,403,451,14.08795,1,13.40297,1
1677595292419,390,427,13.39074,1,13.33037,1
1677595292426,386,412,13.13888,1,13.98048,1
1677595292433,382,378,13.13888,1,13.89615,1
1677595292439,381,355,13.10369,1,13.79669,1
1677595292446,373,324,13.10463,1,13.8331,1
1677595292453,375,307,13.45178,1,13.82474,1
1677595292459,318,323,13.09872,1,13.40901,1
1677595292466,322,338,13.08912,1,13.1461,1
1677595292473,244,376,13.22289,1,13.47781,1
1677595292479,259,376,13.28185,1,13.44353,1
1677595292486,264,388,12.62333,1,13.51818,1
1677595292493,268,403,12.35079,1,13.58132,1
1677595292499,276,409,12.54406,1,13.62653,1
1677595292506,276,410,12.47537,1,13.87075,1
1677595292513,287,408,13.17144,1,13.74581,1
1677595292520,279,417,13.0135,1,13.46458,1
1677595292526,275,405,12.82029,1,13.28686,1
1677595292533,246,393,13.06562,1,13.11117,1
1677595292539,237,358,12.7661,1,13.23429,1
1677595292546,237,357,13.06826,1,13.23137,1
1677595292553,302,349,12.86097,1,12.93035,1
1677595292560,258,382,12.89116,1,12.95177,1
1677595292566,264,397,12.60933,1,12.95177,1
1677595292573,267,367,12.74032,1,12.74853,1
1677595292580,254,453,12.53927,1,12.83589,1
1677595292586,255,457,12.55997,1,12.79936,1
1677595292593,191,601,12.91595,1,12.16093,1
1677595292600,231,640,12.87598,1,12.24409,1
1677595292606,231,641,12.86707,1,12.36157,1
1677595292614,258,547,12.63719,1,12.51173,1
1677595292620,214,580,12.68145,1,12.43097,1
1677595292627,209,572,12.1032,1,12.56774,1
1677595292634,256,542,12.48016,1,12.42503,1
1677595292640,190,577,12.80101,1,12.55113,1
1677595292646,186,571,12.69059,1,12.61005,1
1677595292653,204,569,12.80941,1,12.49536,1
1677595292661,196,575,12.64356,1,12.29215,1
1677595292667,193,569,12.26716,1,12.23588,1
1677595292674,151,560,12.36801,1,12.15489,1
1677595292681,184,573,12.2503,1,12.28476,1
1677595292687,180,567,12.41898,1,12.24593,1
1677595292694,159,551,12.59692,1,12.38527,1
1677595292701,187,579,12.52704,1,11.90004,1
1677595292706,189,582,12.79496,1,12.19683,1
1677595292714,171,556,12.42743,1,12.42549,1
1677595292720,176,565,12.73268,1,12.29276,1
1677595292727,180,571,12.54573,1,12.29756,1
1677595292734,203,563,12.73799,1,12.2903,1
1677595292741,222,540,12.73536,1,11.79449,1
1677595292748,224,543,12.64397,1,12.12535,1
1677595292754,240,437,12.75608,1,12.19144,1
1677595292761,245,505,12.27734,1,12.05519,1
1677595292768,242,498,12.26284,1,11.97714,1
1677595292774,217,530,12.17079,1,11.97714,1
1677595292781,194,449,12.31085,1,12.10534,1
1677595292788,190,442,11.87499,1,12.21049,1
1677595292794,207,472,12.25899,1,12.3264,1
1677595292801,164,518,12.39245,1,12.22715,1
1677595292808,171,530,12.69299,1,12.1444,1
1677595292814,268,489,13.07826,1,12.37009,1
1677595292821,264,517,13.04149,1,12.37009,1
1677595292828,269,527,12.90464,1,12.60002,1
1677595292834,245,512,12.7686,1,12.86124,1
1677595292841,217,533,12.31687,1,12.74416,1
1677595292848,218,536,12.01416,1,12.48563,1
1677595292854,224,552,12.61776,1,12.41517,1
1677595292861,197,517,12.28667,1,12.56932,1
1677595292868,200,520,12.77234,1,12.19282,1
1677595292874,253,520,12.64675,1,12.21061,1
1677595292881,251,552,12.39266,1,12.37526,1
1677595292888,250,549,12.85974,1,12.40169,1
1677595292895,260,519,12.93092,1,12.68321,1
1677595292901,261,549,12.74292,1,13.11237,1
1677595292908,255,539,12.8446,1,12.70988,1
1677595292914,205,494,12.5181,1,12.64768,1
1677595292921,253,528,12.7857,1,12.46103,1
1677595292928,255,531,12.53643,1,12.22362,1
1677595292934,201,518,12.51386,1,12.47955,1
1677595292942,227,529,12.51386,1,12.59725,1
1677595292948,228,533,11.98193,1,12.34797,1
1677595292955,240,528,12.27605,1,12.62078,1
1677595292962,215,542,12.69699,1,12.65894,1
1677595292968,219,548,12.6092,1,13.09568,1
1677595292975,207,556,12.38128,1,12.4252,1
1677595292982,228,591,13.04756,1,12.76836,1
1677595292988,226,588,12.57207,1,12.78505,1
1677595292995,245,506,12.38083,1,12.68694,1
1677595293002,250,516,12.53305,1,12.71114,1
1677595293009,245,507,12.69641,1,13.20802,1
1677595293016,372,539,12.16846,1,13.03701,1
1677595293022,218,542,12.97303,1,13.03701,1
1677595293029,225,554,12.76569,1,13.05259,1
1677595293035,224,525,12.87416,1,13.11532,1
1677595293042,231,548,12.87416,1,13.15947,1
1677595293049,229,544,12.1864,1,12.54192,1
1677595293055,300,594,12.65543,1,13.28864,1
1677595293062,248,537,12.85127,1,13.43225,1
1677595293069,243,529,13.09003,1,13.02938,1
1677595293076,228,511,12.81317,1,13.04889,1
1677595293082,261,513,12.76226,1,13.42168,1
1677595293089,267,526,12.75248,1,13.00565,1
1677595293095,224,538,12.62264,1,13.28147,1
1677595293102,227,557,12.78122,1,12.81704,1
1677595293109,227,557,13.07444,1,12.75689,1
1677595293116,229,558,12.71598,1,13.112,1
1677595293122,238,522,12.69011,1,13.25846,1
1677595293129,233,513,13.00951,1,13.57255,1
1677595293136,368,541,12.63866,1,13.11482,1
1677595293143,197,530,13.16001,1,13.2445,1
1677595293149,196,530,12.74131,1,13.10474,1
1677595293156,189,711,13.1197,1,12.21034,1
1677595293163,190,827,12.72544,1,11.51956,1
1677595293170,200,836,13.20508,1,12.36858,1
1677595293176,202,752,13.04107,1,12.6408,1
1677595293183,210,769,12.90546,1,12.57416,1
1677595293189,206,765,13.29535,1,12.66483,1
1677595293196,180,739,13.03216,1,12.54049,1
1677595293203,176,740,12.79328,1,12.54049,1
1677595293209,173,736,12.38911,1,12.47847,1
1677595293216,170,723,12.5606,1,12.53938,1
1677595293223,170,720,12.46777,1,12.43347,1
1677595293230,170,720,12.57395,1,12.45081,1
1677595293236,186,744,12.60474,1,12.76655,1
1677595293243,188,728,12.93733,1,12.76655,1
1677595293250,188,728,12.73534,1,12.47361,1
1677595293256,213,743,12.57287,1,12.44348,1
1677595293263,209,739,12.27826,1,12.35842,1
1677595293270,209,739,12.83024,1,12.50128,1
1677595293277,177,747,12.64944,1,12.45033,1
1677595293284,170,724,12.36785,1,12.27731,1
1677595293290,170,724,12.94601,1,12.20894,1
1677595293296,174,746,13.0582,1,12.33117,1
1677595293304,186,786,13.25774,1,12.33239,1
1677595293310,190,789,13.1726,1,12.28633,1
1677595293317,191,764,13.21134,1,12.62934,1
1677595293324,207,712,12.75846,1,12.25085,1
1677595293330,207,712,12.82719,1,12.05014,1
1677595293337,214,724,13.08849,1,12.32603,1
1677595293344,213,712,12.72636,1,12.33405,1
1677595293351,210,708,12.58733,1,12.17284,1
1677595293357,219,694,12.83989,1,12.55792,1
1677595293363,220,695,12.81624,1,12.48824,1
1677595293370,220,695,13.22033,1,12.39251,1
1677595293377,233,702,13.01341,1,12.57266,1
1677595293384,234,699,13.16615,1,12.34209,1
1677595293391,234,699,12.97045,1,12.55226,1
1677595293397,217,709,13.16305,1,12.45124,1
1677595293404,215,697,13.35753,1,12.295,1
1677595293411,216,698,13.35753,1,12.39208,1
1677595293417,195,684,13.12716,1,12.5974,1
1677595293424,193,695,13.26516,1,12.13358,1
1677595293431,195,698,13.17862,1,12.38764,1
1677595293437,195,700,13.46748,1,11.97576,1
1677595293444,193,706,13.03489,1,12.06351,1
1677595293451,185,697,13.19991,1,12.16142,1
1677595293457,181,656,13.18094,1,12.17106,1
1677595293464,159,646,13.3104,1,12.17349,1
1677595293471,159,646,13.3104,1,12.13362,1
1677595293477,167,658,13.14117,1,12.69684,1
1677595293484,177,647,13.09073,1,12.61515,1
1677595293491,177,647,12.57743,1,12.68531,1
1677595293497,173,671,12.91367,1,12.59019,1
1677595293504,176,633,12.83896,1,12.20461,1
1677595293511,173,630,12.75887,1,12.48793,1
1677595293518,188,616,12.83437,1,12.76089,1
1677595293524,183,651,12.76647,1,12.56458,1
1677595293531,190,661,12.50578,1,12.41267,1
1677595293538,203,652,12.81675,1,12.55919,1
1677595293544,245,664,12.67785,1,12.47968,1
1677595293551,249,670,13.06124,1,12.20402,1
1677595293558,238,708,13.03158,1,12.22242,1
1677595293565,228,786,12.94201,1,12.31805,1
1677595293571,227,784,12.61333,1,12.11615,1
1677595293578,254,774,12.81094,1,12.37688,1
1677595293584,238,764,13.08966,1,12.16691,1
1677595293591,239,766,13.16413,1,12.33139,1
1677595293598,236,789,13.02596,1,12.38037,1
1677595293605,226,780,13.20268,1,12.40917,1
1677595293611,228,783,13.07558,1,12.6027,1
1677595293619,230,762,12.9121,1,12.69071,1
1677595293624,212,741,12.94156,1,12.53478,1
1677595293631,205,731,12.5216,1,12.60665,1
1677595293638,258,744,12.78477,1,12.60665,1
1677595293644,253,752,12.87555,1,12.75305,1
1677595293652,257,759,13.05558,1,12.91358,1
1677595293659,240,756,12.79472,1,12.80957,1
1677595293665,246,754,13.17656,1,12.85598,1
1677595293672,248,756,13.20901,1,12.58924,1
1677595293678,257,795,13.31943,1,12.65456,1
1677595293685,232,752,13.26496,1,12.65637,1
1677595293692,227,745,12.3457,1,12.52419,1
1677595293699,234,739,12.45884,1,12.52297,1
1677595293705,281,757,12.44169,1,12.46755,1
1677595293712,285,764,12.97573,1,12.71993,1
1677595293718,249,783,13.14216,1,12.69411,1
1677595293725,238,756,12.71301,1,12.70108,1
1677595293732,235,753,12.62397,1,12.01796,1
1677595293739,234,757,12.20037,1,12.60392,1
1677595293746,285,732,12.03975,1,12.74725,1
1677595293752,285,732,12.89424,1,12.90989,1
1677595293759,254,739,12.65668,1,12.94604,1
1677595293766,250,756,12.60388,1,12.81836,1
1677595293772,252,759,13.07961,1,12.7724,1
1677595293779,251,760,13.14303,1,12.71546,1
1677595293786,234,773,13.09366,1,12.33861,1
1677595293792,231,771,12.95341,1,12.57701,1
1677595293799,258,747,13.28517,1,12.58216,1
1677595293806,289,731,12.92786,1,12.7724,1
1677595293812,291,734,13.25401,1,12.8236,1
1677595293819,306,738,12.78456,1,12.90755,1
1677595293826,311,731,12.89363,1,12.66157,1
1677595293832,309,729,12.76935,1,12.65006,1
1677595293839,306,737,13.03133,1,12.69411,1
1677595293846,296,742,12.64366,1,12.71599,1
1677595293852,296,742,13.16217,1,12.79447,1
1677595293860,257,748,13.23454,1,12.79018,1
1677595293866,270,761,13.20299,1,12.6183,1
1677595293873,269,758,13.10182,1,12.74736,1
1677595293880,276,645,13.08753,1,12.85972,1
1677595293886,278,649,12.90574,1,12.75909,1
1677595293893,276,646,12.7035,1,12.74968,1
1677595293899,291,648,13.10452,1,12.33511,1
1677595293907,294,651,12.6629,1,12.33511,1
1677595293913,300,661,12.81945,1,12.40474,1
1677595293919,267,676,12.79095,1,12.74999,1
1677595293926,300,679,12.79095,1,12.61292,1
1677595293933,299,677,12.79645,1,12.73055,1
1677595293939,289,678,12.78249,1,12.78454,1
1677595293946,285,658,12.69844,1,12.34995,1
1677595293953,276,643,12.69566,1,12.74968,1
1677595293960,286,606,12.59978,1,12.36584,1
1677595293967,269,591,12.82633,1,12.28768,1
1677595293974,273,599,12.89561,1,12.71459,1
1677595293980,290,622,12.93966,1,12.7295,1
1677595293987,292,645,12.93966,1,12.26966,1
1677595293993,296,651,13.26139,1,12.48178,1
1677595294000,296,629,12.98958,1,12.75801,1
1677595294007,306,654,12.2686,1,12.46674,1
1677595294014,299,642,12.40584,1,13.05712,1
1677595294020,327,611,12.55021,1,12.82707,1
1677595294026,285,586,12.44242,1,12.96814,1
1677595294033,292,599,12.7011,1,12.56402,1
1677595294040,316,632,12.8338,1,12.68423,1
1677595294047,324,831,12.73393,1,12.83217,1
1677595294054,326,836,12.38753,1,12.77794,1
1677595294060,298,832,12.45813,1,12.77794,1
1677595294067,305,816,12.49102,1,12.90352,1
1677595294073,302,809,12.53151,1,12.33493,1
1677595294080,387,819,12.82277,1,12.21822,1
1677595294087,251,841,12.51015,1,12.03771,1
1677595294094,251,841,12.26132,1,11.93558,1
1677595294101,206,859,12.59738,1,12.01144,1
1677595294107,222,840,12.40686,1,12.03226,1
1677595294114,225,845,12.6241,1,11.78675,1
1677595294121,282,837,12.90234,1,12.47603,1
1677595294127,238,842,12.88724,1,12.15381,1
1677595294134,236,839,13.1207,1,12.3575,1
1677595294140,218,830,12.92708,1,12.15627,1
1677595294147,277,838,12.85704,1,12.20377,1
1677595294154,274,833,12.91269,1,12.20377,1
1677595294161,232,851,13.15426,1,12.03138,1
1677595294167,203,830,13.22216,1,12.16456,1
1677595294174,197,822,13.00644,1,12.16456,1
1677595294181,214,811,12.73722,1,12.16456,1
1677595294188,219,827,12.72838,1,12.09892,1
1677595294194,221,830,12.76972,1,12.18619,1
1677595294201,199,785,12.82345,1,12.27239,1
1677595294207,192,814,12.82345,1,12.16433,1
1677595294214,185,805,12.77921,1,12.08763,1
1677595294221,251,827,12.65931,1,12.28868,1
1677595294228,242,811,12.65931,1,12.02017,1
1677595294234,242,811,12.65931,1,12.33489,1
1677595294241,220,822,12.7287,1,12.33489,1
1677595294247,242,818,12.05035,1,12.17195,1
1677595294255,245,824,12.03066,1,12.14967,1
1677595294261,224,805,11.94987,1,12.46487,1
1677595294268,247,833,11.78067,1,12.13529,1
1677595294275,251,839,11.86902,1,12.15141,1
1677595294282,220,827,11.94923,1,12.20891,1
1677595294288,261,839,11.86902,1,12.19594,1
1677595294295,263,841,12.06428,1,12.10765,1
1677595294302,229,816,12.23096,1,12.56075,1
1677595294308,235,833,12.11127,1,12.48229,1
1677595294315,238,839,12.14859,1,12.56511,1
1677595294322,228,836,11.98921,1,12.43372,1
1677595294329,220,845,12.25982,1,12.49925,1
1677595294335,223,850,12.37206,1,12.20886,1
1677595294341,267,855,12.38429,1,12.33207,1
1677595294349,239,830,12.39776,1,12.33207,1
1677595294355,241,833,12.38028,1,12.2593,1
1677595294361,231,916,12.75043,1,12.0802,1
1677595294369,214,917,12.55959,1,12.47923,1
1677595294375,208,910,12.81081,1,12.21796,1
1677595294382,226,890,12.7572,1,12.12207,1
