timestamp,FPOGX,FPOGY,FPOGD
1678715941912,549,118,160
1678715942113,495,169,194
1678715942308,505,175,187
1678715942401,348,117,87
1678715942569,241,80,160
1678715942750,195,90,174
1678715942836,207,301,80
1678715943051,209,517,187
1678715944143,216,1092,248
1678715944243,208,1147,93
1678715944438,219,1378,167
1678715944638,240,1351,194
1678715944826,273,1360,181
1678715945148,380,1389,114
1678715945482,746,1329,307
1678715945763,728,1492,254
1678715945891,656,1439,120
1678715946092,275,1486,173
1678715946507,244,1481,408
1678715946742,300,1462,227
1678715947311,290,1300,542
1678715947606,708,1280,267
1678715947860,709,760,207
1678715948215,750,783,348
