timestamp,FPOGX,FPOGY,FPOGD
1671196645197,361,131,294
1671196645405,519,205,201
1671196645618,618,187,208
1671196645846,522,186,220
1671196646080,383,180,228
1671196646261,313,167,173
1671196646409,246,216,140
1671196646657,461,455,221
1671196646938,279,416,254
1671196647052,259,437,107
1671196647186,209,470,127
1671196647288,204,489,95
1671196647547,239,556,253
1671196647863,323,642,288
1671196648036,244,636,166
1671196648512,279,616,260
1671196648727,292,616,208
1671196649035,234,710,281
1671196649229,260,734,187
1671196649550,689,732,294
1671196649812,709,741,254
1671196650166,543,742,347
1671196650388,604,737,214
1671196650683,697,749,288
1671196650944,257,901,234
1671196651473,279,908,522
1671196651768,287,732,268
1671196652082,258,700,307
1671196652974,278,719,884
1671196653248,271,637,268
1671196653677,302,607,422
1671196653965,323,192,259
1671196654092,291,209,121
1671196654273,236,209,173
1671196654400,224,210,121
1671196654487,455,133,80
1671196655036,721,55,522
1671196655243,725,52,200
1671196655331,514,142,81
