timestamp,FPOGX,FPOGY,FPOGD
1677595292037,535,118,161
1677595292305,488,344,241
1677595292479,367,383,166
1677595292607,261,440,120
1677595292781,201,541,167
1677595293149,238,540,362
1677595293377,196,732,200
1677595293839,250,757,314
1677595294147,282,838,301
1677595294904,210,942,750
1677595295627,249,1084,294
1677595296063,249,1193,173
1677595296203,216,1144,133
1677595296350,240,1149,140
1677595296592,243,1166,233
1677595296652,300,1308,53
1677595296933,254,1139,147
1677595297269,264,1201,181
1677595297496,290,1192,221
1677595297603,215,1140,100
1677595297764,225,1119,113
1677595297898,266,1166,127
1677595298026,617,1233,101
1677595298219,676,1247,187
1677595298374,657,1235,147
1677595298943,262,1340,200
1677595299285,245,1301,334
1677595299666,273,1447,374
1677595300055,267,1768,381
1677595300216,278,1748,152
1677595300497,230,1980,254
1677595301194,215,2253,113
1677595302440,306,1170,187
1677595302600,301,1230,154
1677595302741,295,1257,134
1677595303043,262,1076,147
1677595303297,248,979,248
1677595303645,241,941,340
1677595304027,244,948,375
1677595304148,242,1022,114
1677595304650,232,1115,495
1677595304911,204,1345,234
1677595305139,220,1285,221
1677595305354,245,1270,207
1677595305568,285,1181,207
1677595305796,270,1183,221
1677595305883,271,966,80
1677595306338,255,651,153
1677595306539,242,862,173
1677595306807,237,823,261
1677595306981,253,972,146
1677595307591,259,829,227
1677595307872,267,459,140
1677595308113,219,550,234
1677595308261,262,640,141
1677595308737,212,722,449
1677595308950,205,902,187
1677595309312,214,966,354
1677595309687,189,1054,368
1677595310176,219,812,461
1677595310578,219,732,395
1677595310953,215,1312,140
1677595311175,203,1230,214
1677595311543,230,1187,362
1677595311730,334,1210,180
1677595311931,466,1205,194
1677595312066,548,1236,127
1677595312246,665,1260,174
1677595312461,425,1217,187
1677595312782,536,1252,314
1677595312996,440,1233,207
1677595313284,214,1221,260
1677595313506,338,1237,214
1677595313800,379,1240,288
1677595314021,236,1223,193
1677595314463,276,1167,435
1677595314784,381,1196,314
1677595314999,464,1241,207
1677595315240,218,1243,214
1677595315522,290,1235,274
1677595315642,280,1239,113
1677595315857,223,1227,207
1677595315991,289,1252,127
1677595316198,369,1261,200
1677595316386,451,1250,180
1677595316701,509,1255,308
1677595316882,695,658,134
1677595317257,721,586,368
1677595317672,227,1313,368
