timestamp,FPOGX,FPOGY,FPOGD
1677142475386,682,232,354
1677142475493,458,350,80
1677142475781,306,324,281
1677142476050,272,195,240
1677142476096,263,316,40
1677142476693,271,957,134
1677142476847,292,959,147
1677142477027,233,885,174
1677142477369,332,948,315
1677142477604,810,1014,207
1677142477851,347,1093,221
1677142478019,277,1056,161
1677142478166,301,1038,140
1677142478320,288,1058,147
1677142478628,231,1143,301
1677142478997,246,1244,361
1677142479379,271,1266,375
1677142479606,299,1276,220
1677142479713,274,1307,101
1677142479963,299,1936,221
1677142480129,244,1881,160
1677142480356,263,1862,220
1677142480504,241,1955,140
1677142480779,246,2010,268
1677142481307,358,1311,134
1677142481449,363,1382,134
1677142481770,354,1059,187
1677142481971,345,1058,194
1677142482225,292,1018,247
1677142482587,247,2332,314
1677142482862,276,2269,267
1677142483029,231,2301,160
1677142483317,243,2384,281
1677142483873,253,2515,173
1677142484014,270,2441,133
1677142484369,292,2375,348
1677142484530,327,2394,153
1677142484938,241,2197,193
1677142485126,249,2291,180
1677142485240,247,2201,107
1677142485662,268,2387,261
1677142485849,231,2384,181
1677142486345,299,1503,180
1677142486746,290,1141,160
1677142486961,304,1009,207
1677142487578,337,902,174
1677142487812,330,938,227
1677142487939,370,930,120
1677142488153,590,928,187
1677142488294,591,913,134
1677142488636,738,908,314
1677142488737,606,919,94
1677142488937,325,886,174
1677142489024,311,770,80
1677142489313,305,578,261
1677142489426,324,577,107
1677142489614,714,476,160
1677142489741,753,488,120
