timestamp,FPOGX,FPOGY,FPOGD
1671206635668,558,138,273
1671206635843,637,238,167
1671206636265,709,287,416
1671206636453,741,467,162
1671206636847,730,433,388
1671206637056,267,105,181
1671206637217,202,40,154
1671206637818,198,1,355
1671206638568,211,6,248
1671206638890,213,2,314
1671206639232,232,5,335
1671206639433,258,7,195
1671206640095,327,48,85
1671206642754,261,184,232
1671206642963,306,153,201
1671206643170,372,186,199
1671206643318,458,91,121
1671206643552,464,128,228
1671206643840,440,116,281
1671206644074,635,340,207
1671206644168,472,293,85
1671206644390,330,280,214
1671206644638,282,271,242
1671206644865,235,233,220
1671206645367,267,277,494
1671206645554,272,315,179
1671206646166,267,459,603
1671206646252,550,503,80
1671206646467,737,475,187
1671206646601,688,426,128
1671206647021,298,601,173
1671206647517,254,605,488
1671206647799,740,630,253
1671206648181,713,613,376
1671206648402,724,453,195
1671206648556,707,238,126
1671206648879,713,266,316
1671206649254,386,250,349
1671206649453,321,263,193
1671206649795,281,256,333
1671206650009,403,274,207
1671206650345,567,298,216
1671206650478,553,314,126
1671206650599,488,315,113
1671206650955,417,464,328
1671206651154,295,467,193
1671206651543,233,451,380
1671206651967,246,262,396
1671206652334,190,259,361
1671206652615,197,229,273
1671206652736,237,104,113
1671206652943,225,102,201
1671206653092,285,135,140
1671206653365,520,65,248
1671206653588,693,164,195
1671206653828,708,267,234
1671206653996,711,480,140
1671206654183,702,332,162
1671206654302,711,249,113
1671206654517,724,118,187
1671206654785,746,779,199
1671206655148,724,750,355
