timestamp,FPOGX,FPOGY,FPOGD
1677163452783,405,138,308
1677163452984,503,202,195
1677163453379,229,194,369
1677163453740,629,185,333
1677163453914,727,226,166
1677163454230,935,191,289
1677163454511,849,289,275
1677163454672,846,332,154
1677163454933,859,343,255
1677163455146,928,324,207
1677163455429,978,290,275
1677163455857,926,307,160
1677163456064,854,290,199
1677163456326,847,287,253
1677163456949,837,299,615
1677163457189,218,171,193
1677163457398,228,49,181
1677163457592,247,20,187
1677163457740,317,65,140
1677163458248,219,213,140
1677163458576,243,205,320
1677163459267,275,419,421
1677163459361,427,445,87
1677163459529,465,437,162
1677163459843,390,441,308
1677163460031,224,515,162
1677163460326,236,536,289
1677163460519,177,603,187
1677163460720,180,550,195
1677163460996,175,742,269
1677163461109,177,725,107
1677163461330,201,725,214
1677163461617,291,744,281
1677163461806,396,739,181
1677163462174,246,752,361
1677163462496,253,747,314
1677163462931,462,735,410
1677163463166,317,735,228
1677163463252,551,628,80
1677163463480,742,600,201
