timestamp,FPOGX,FPOGY,FPOGD
1671705557950,722,212,281
1671705558125,603,245,167
1671705558218,438,233,87
1671705558439,308,233,214
1671705558834,568,238,368
1671705559069,734,666,207
1671705559229,732,681,153
1671705559524,762,251,267
1671705559812,721,217,281
1671705560261,570,237,442
1671705560522,519,259,254
1671705561058,219,258,509
1671705561266,294,146,200
1671705561413,331,126,140
1671705561788,322,69,368
1671705562023,307,58,227
1671705562398,340,70,368
1671705562699,294,489,274
1671705563436,223,527,729
1671705563651,212,628,208
1671705564126,228,678,468
1671705566109,254,668,1976
1671705566350,267,668,234
1671705566739,665,663,361
1671705567033,362,666,267
1671705567254,320,668,214
1671705567824,310,646,562
1671705568011,342,665,180
1671705568245,377,649,227
1671705568453,338,483,200
1671705568815,254,478,354
1671705569177,301,473,355
1671705569337,514,496,133
1671705569760,563,254,395
1671705570034,409,283,268
1671705570309,367,279,267
1671705571099,209,263,783
1671705571501,253,634,375
1671705571729,283,681,221
1671705571937,354,674,201
1671705572540,330,765,455
1671705572921,345,780,374
1671705573196,723,728,247
1671705573772,707,1032,549
1671705574020,734,279,200
1671705574269,728,222,242
1671705574422,716,185,145
1671705574904,697,257,474
1671705575192,678,284,281
1671705575400,337,289,180
1671705575869,218,276,461
1671705576210,239,214,334
1671705576331,226,245,114
1671705576947,225,404,589
1671705577349,295,402,394
1671705577489,280,427,134
1671705577818,226,495,320
1671705578119,337,480,294
1671705578434,329,414,308
1671705578676,204,416,235
1671705578990,205,528,308
1671705579680,218,610,683
1671705580196,242,690,508
1671705580343,261,643,140
1671705580557,251,655,207
1671705580678,253,688,113
1671705580986,241,822,281
1671705581576,265,784,582
1671705582213,263,899,630
1671705582546,311,894,328
1671705582855,350,652,281
1671705583384,384,500,502
1671705583686,269,505,294
1671705583806,278,457,114
1671705583987,297,427,174
1671705584195,311,401,200
1671705584463,342,418,261
1671705584958,242,424,488
1671705585133,264,455,167
1671705585441,503,443,281
1671705585930,545,465,482
1671705586064,555,477,127
1671705586311,581,457,241
1671705586492,574,450,174
1671705586707,468,435,208
1671705586974,446,462,260
1671705587189,420,478,208
1671705587778,386,464,582
1671705587872,351,599,86
1671705588148,339,657,268
1671705588542,272,670,388
1671705588903,281,673,354
1671705589218,697,681,287
1671705589573,711,685,348
1671705589888,664,704,106
1671705590451,249,972,280
1671705590973,234,1017,515
1671705591275,669,1216,255
1671705591563,369,1187,261
1671705592045,704,1311,221
1671705592494,739,1350,442
1671705592755,287,1189,234
1671705593413,218,1060,463
1671705593961,247,1015,542
1671705594396,244,1158,426
1671705594751,263,909,328
1671705594972,295,908,214
1671705595067,245,760,87
1671705595589,299,465,187
1671705596466,321,401,871
1671705596607,315,393,134
1671705596962,314,360,348
1671705597183,680,253,194
1671705597458,765,183,268
1671705597745,777,207,281
1671705598000,632,264,248
