timestamp,FPOGX,FPOGY,FPOGD
1675251361277,531,332,86
1675251361426,337,381,92
1675251361527,245,387,93
1675251361648,207,370,114
1675251361768,209,125,93
1675251361928,239,157,154
1675251362022,247,20,86
1675251362150,255,95,121
1675251362357,185,244,86
1675251362685,224,303,321
1675251362899,245,141,186
1675251363214,238,133,308
1675251363334,258,158,113
1675251363388,235,34,46
1675251363690,277,146,234
1675251363931,301,187,234
1675251364259,296,122,320
1675251364406,212,249,120
1675251364574,215,312,161
1675251364781,262,367,201
1675251364882,225,398,93
1675251365056,259,515,125
1675251365243,246,482,180
1675251365431,195,428,180
1675251365531,278,596,93
1675251365686,295,664,147
1675251365840,260,664,147
1675251366557,198,681,87
1675251366965,229,855,241
1675251367354,253,891,381
1675251367610,231,881,188
1675251367889,236,881,233
1675251367983,326,776,85
1675251368204,522,925,194
1675251368432,567,872,220
1675251368560,457,924,121
1675251368800,435,930,233
1675251368907,260,911,99
1675251369048,179,881,133
1675251369195,252,925,140
1675251369390,363,911,187
1675251369584,316,926,187
1675251369852,237,907,260
1675251369973,277,918,113
1675251370140,323,910,160
1675251370552,271,990,103
1675251370725,175,960,169
1675251370830,251,982,101
1675251370978,568,918,121
1675251371105,154,938,100
1675251371292,165,973,161
1675251371580,266,991,220
1675251371688,234,995,99
1675251371882,251,1065,187
1675251372089,236,1114,200
1675251372183,238,1121,86
1675251372311,211,1066,80
1675251372518,220,1072,201
1675251372733,235,1054,166
1675251372893,293,1104,153
1675251373040,316,1089,140
1675251373349,325,1103,301
1675251373536,318,1039,180
1675251373677,332,1048,133
1675251373837,405,1074,153
1675251374078,440,1054,234
1675251374267,451,1043,140
1675251374500,480,1054,226
1675251374635,490,1022,127
1675251374904,470,1073,222
1675251375010,313,1004,98
1675251375104,336,1035,86
1675251375225,342,1072,114
1675251375425,339,1065,194
1675251375606,272,905,153
1675251376022,291,892,409
1675251376182,317,896,154
1675251376376,359,903,187
1675251376551,381,896,167
1675251376678,664,542,100
1675251376812,712,497,126
1675251376985,727,497,166
1675251377247,740,547,254
