timestamp,xpos,ypos,event,xpath
1671196645197,0,0,load,/
1671196645197,0,0,pageshow,/
1671196652472,1020,236,mouseover,//*[@id='rcnt']
1671196652472,1020,236,mousemove,//*[@id='rcnt']
1671196652480,1007,242,mousemove,//*[@id='rcnt']
1671196652497,975,257,mousemove,//*[@id='rcnt']
1671196652514,924,278,mousemove,//*[@id='rcnt']
1671196652530,873,301,mousemove,//*[@id='rcnt']
1671196652547,815,332,mouseout,//*[@id='rcnt']
1671196652548,815,332,mouseover,//*[@id='tvcap']/div[1]/div/div/div/div[2]/div/div[2]/div
1671196652548,815,332,mousemove,//*[@id='tvcap']/div[1]/div/div/div/div[2]/div/div[2]/div
1671196652565,762,376,mouseout,//*[@id='tvcap']/div[1]/div/div/div/div[2]/div/div[2]/div
1671196652565,762,376,mouseover,//*[@id='vplap4']
1671196652565,762,376,mousemove,//*[@id='vplap4']
1671196652581,716,433,mouseout,//*[@id='vplap4']
1671196652581,716,433,mouseover,//*[@id='_eKKgYqPfIua4qtsPl46NoA019']/div[1]/div/div/div[1]
1671196652581,716,433,mousemove,//*[@id='_eKKgYqPfIua4qtsPl46NoA019']/div[1]/div/div/div[1]
1671196652598,687,473,mouseout,//*[@id='_eKKgYqPfIua4qtsPl46NoA019']/div[1]/div/div/div[1]
1671196652598,687,473,mouseover,//*[@id='tads']/div[1]/div/div/div/div[1]
1671196652598,687,473,mousemove,//*[@id='tads']/div[1]/div/div/div/div[1]
1671196652614,664,505,mouseout,//*[@id='tads']/div[1]/div/div/div/div[1]
1671196652614,664,505,mouseover,//*[@id='tads']/div[1]/div/div/div/div[1]/a/div[1]/span
1671196652614,664,505,mousemove,//*[@id='tads']/div[1]/div/div/div/div[1]/a/div[1]/span
1671196652631,652,522,mouseout,//*[@id='tads']/div[1]/div/div/div/div[1]/a/div[1]/span
1671196652631,652,522,mouseover,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div/span
1671196652632,652,522,mousemove,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div/span
1671196652647,642,534,mousemove,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div/span
1671196652664,636,538,mouseout,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div/span
1671196652664,636,538,mouseover,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1671196652664,636,538,mousemove,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1671196652683,634,543,mouseout,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1671196652683,634,543,mouseover,//*[@id='tads']
1671196652683,634,543,mousemove,//*[@id='tads']
1671196652697,631,546,mousemove,//*[@id='tads']
1671196652714,626,551,mousemove,//*[@id='tads']
1671196652730,622,557,mousemove,//*[@id='tads']
1671196652747,615,567,mousemove,//*[@id='tads']
1671196652764,612,582,mouseout,//*[@id='tads']
1671196652764,612,582,mouseover,//*[@id='tads']/div[2]/div/div/div/div[1]
1671196652764,612,582,mousemove,//*[@id='tads']/div[2]/div/div/div/div[1]
1671196652781,610,600,mouseout,//*[@id='tads']/div[2]/div/div/div/div[1]
1671196652781,610,600,mouseover,//*[@id='tads']/div[2]/div/div/div/div[1]/a/div[1]/span
1671196652781,610,600,mousemove,//*[@id='tads']/div[2]/div/div/div/div[1]/a/div[1]/span
1671196652798,606,620,mouseout,//*[@id='tads']/div[2]/div/div/div/div[1]/a/div[1]/span
1671196652798,606,620,mouseover,//*[@id='tads']/div[2]/div/div/div/div[1]/a/div[1]
1671196652798,606,620,mousemove,//*[@id='tads']/div[2]/div/div/div/div[1]/a/div[1]
1671196652814,603,637,mouseout,//*[@id='tads']/div[2]/div/div/div/div[1]/a/div[1]
1671196652814,603,637,mouseover,//*[@id='tads']/div[2]/div/div/div/div[2]/div/div/span
1671196652814,603,637,mousemove,//*[@id='tads']/div[2]/div/div/div/div[2]/div/div/span
1671196652831,595,655,mouseout,//*[@id='tads']/div[2]/div/div/div/div[2]/div/div/span
1671196652831,595,655,mouseover,//*[@id='tads']
1671196652831,595,655,mousemove,//*[@id='tads']
1671196652848,583,681,mouseout,//*[@id='tads']
1671196652848,583,681,mouseover,//*[@id='tads']/div[3]/div/div/div/div[1]
1671196652848,583,681,mousemove,//*[@id='tads']/div[3]/div/div/div/div[1]
1671196652864,560,705,mouseout,//*[@id='tads']/div[3]/div/div/div/div[1]
1671196652864,560,705,mouseover,//*[@id='tads']/div[3]/div/div/div/div[1]/a/div[1]/span
1671196652864,560,705,mousemove,//*[@id='tads']/div[3]/div/div/div/div[1]/a/div[1]/span
1671196652880,545,715,mousemove,//*[@id='tads']/div[3]/div/div/div/div[1]/a/div[1]/span
1671196652897,534,724,mousemove,//*[@id='tads']/div[3]/div/div/div/div[1]/a/div[1]/span
1671196652914,530,732,mouseout,//*[@id='tads']/div[3]/div/div/div/div[1]/a/div[1]/span
1671196652915,530,732,mouseover,//*[@id='tads']/div[3]/div/div/div/div[2]/div/div
1671196652915,530,732,mousemove,//*[@id='tads']/div[3]/div/div/div/div[2]/div/div
1671196652930,528,736,mouseout,//*[@id='tads']/div[3]/div/div/div/div[2]/div/div
1671196652931,528,736,mouseover,//*[@id='tads']/div[3]/div/div/div/div[2]/div/div/span
1671196652931,528,736,mousemove,//*[@id='tads']/div[3]/div/div/div/div[2]/div/div/span
1671196652947,524,743,mousemove,//*[@id='tads']/div[3]/div/div/div/div[2]/div/div/span
