timestamp,xpos,ypos,event,xpath
1675858552899,0,0.0,load,/
1675858552899,0,0.0,pageshow,/
1675858553232,664,202.0,mouseover,//*[@id='tads']/div[1]/div/div/div/div[1]
1675858553232,664,202.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[1]
1675858553242,663,207.0,mouseout,//*[@id='tads']/div[1]/div/div/div/div[1]
1675858553242,663,207.0,mouseover,//*[@id='tads']/div[1]/div/div/div/div[1]/a/div[1]
1675858553242,663,207.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[1]/a/div[1]
1675858553258,661,217.0,mouseout,//*[@id='tads']/div[1]/div/div/div/div[1]/a/div[1]
1675858553258,661,217.0,mouseover,//*[@id='tads']/div[1]/div/div/div/div[1]/a/div[1]/span
1675858553258,661,217.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[1]/a/div[1]/span
1675858553276,658,226.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[1]/a/div[1]/span
1675858553293,655,237.0,mouseout,//*[@id='tads']/div[1]/div/div/div/div[1]/a/div[1]/span
1675858553293,655,237.0,mouseover,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1675858553293,655,237.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1675858553308,651,250.0,mouseout,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1675858553308,651,250.0,mouseover,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div/span
1675858553308,651,250.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div/span
1675858553325,650,258.0,mouseout,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div/span
1675858553325,650,258.0,mouseover,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1675858553325,650,258.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1675858553342,645,271.0,mouseout,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1675858553342,645,271.0,mouseover,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div/span
1675858553342,645,271.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div/span
1675858553359,643,280.0,mouseout,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div/span
1675858553359,643,280.0,mouseover,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1675858553359,643,280.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1675858553386,642,288.0,mouseout,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1675858553386,642,288.0,mouseover,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858553386,642,288.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858553393,640,293.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858553410,636,298.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858553504,636,300.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858553521,635,300.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858553536,634,300.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858553575,633,300.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858553625,632,300.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858554024,631,300.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858554047,630,295.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858554064,628,291.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858554075,627,290.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858554288,626,288.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858554296,625,286.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858554308,623,285.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858554384,623,284.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858554392,623,283.0,mouseout,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858554393,623,283.0,mouseover,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1675858554393,623,283.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1675858554408,623,281.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1675858554425,623,280.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1675858555368,621,278.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1675858555376,620,278.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1675858555392,620,281.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1675858555408,618,290.0,mouseout,//*[@id='tads']/div[1]/div/div/div/div[2]/div/div
1675858555408,618,290.0,mouseover,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858555408,618,290.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858555424,613,310.0,mouseout,//*[@id='tads']/div[1]/div/div/div/div[3]
1675858555425,613,310.0,mouseover,//*[@id='tads']/div[1]/div/div/div/div[3]/div[1]/h3/div
1675858555425,613,310.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]/div[1]/h3/div
1675858555441,610,321.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]/div[1]/h3/div
1675858555458,607,330.0,mouseout,//*[@id='tads']/div[1]/div/div/div/div[3]/div[1]/h3/div
1675858555458,607,330.0,mouseover,//*[@id='tads']/div[1]/div/div/div/div[3]/div[1]/div
1675858555458,607,330.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]/div[1]/div
1675858555474,604,340.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]/div[1]/div
1675858555491,602,345.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]/div[1]/div
1675858555508,601,351.0,mouseout,//*[@id='tads']/div[1]/div/div/div/div[3]/div[1]/div
1675858555508,601,351.0,mouseover,//*[@id='tads']/div[1]/div/div/div/div[3]/div[1]
1675858555508,601,351.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]/div[1]
1675858555525,601,352.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]/div[1]
1675858555541,601,355.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]/div[1]
1675858555558,600,356.0,mousemove,//*[@id='tads']/div[1]/div/div/div/div[3]/div[1]
