timestamp,xpos,ypos,event,xpath
1677142475386,0,0.0,load,/
1677142475386,0,0.0,pageshow,/
1677142475432,814,292.0,mousemove,//*[@id='tads']
1677142475449,814,293.0,mousemove,//*[@id='tads']
1677142475466,812,295.0,mousemove,//*[@id='tads']
1677142475482,806,300.0,mousemove,//*[@id='tads']
1677142475502,800,306.0,mousemove,//*[@id='tads']
1677142475517,796,311.0,mousemove,//*[@id='tads']
1677142475533,791,324.0,mousemove,//*[@id='tads']
1677142475549,787,342.0,mousemove,//*[@id='tads']
1677142475565,787,366.0,mousemove,//*[@id='tads']
1677142475582,788,394.0,mousemove,//*[@id='tads']
1677142475599,800,425.0,mousemove,//*[@id='tads']
1677142475615,812,451.0,mouseout,//*[@id='tads']
1677142475615,812,451.0,mouseover,//*[@id='rcnt']/div[1]
1677142475615,812,451.0,mousemove,//*[@id='rcnt']/div[1]
1677142475631,823,477.0,mouseout,//*[@id='rcnt']/div[1]
1677142475632,823,477.0,mouseover,//*[@id='Odp5De']/div/div/div[1]/div[3]
1677142475632,823,477.0,mousemove,//*[@id='Odp5De']/div/div/div[1]/div[3]
1677142475649,836,510.0,mousemove,//*[@id='Odp5De']/div/div/div[1]/div[3]
1677142475665,842,528.0,mouseout,//*[@id='Odp5De']/div/div/div[1]/div[3]
1677142475665,842,528.0,mouseover,//*[@id='Odp5De']/div/div/div[1]
1677142475665,842,528.0,mousemove,//*[@id='Odp5De']/div/div/div[1]
1677142475682,844,537.0,mouseout,//*[@id='Odp5De']/div/div/div[1]
1677142475682,844,537.0,mouseover,//*[@id='lcim_1']
1677142475682,844,537.0,mousemove,//*[@id='lcim_1']
1677142475699,844,545.0,mousemove,//*[@id='lcim_1']
1677142475749,840,545.0,mousemove,//*[@id='lcim_1']
1677142475765,822,533.0,mousemove,//*[@id='lcim_1']
1677142475781,777,502.0,mouseout,//*[@id='lcim_1']
1677142475781,777,502.0,mouseover,//*[@id='Odp5De']/div/div/div[1]/div[3]
1677142475781,777,502.0,mousemove,//*[@id='Odp5De']/div/div/div[1]/div[3]
1677142475799,701,457.0,mouseout,//*[@id='Odp5De']/div/div/div[1]/div[3]
1677142475799,701,457.0,mouseover,//*[@id='rcnt']/div[1]
1677142475799,701,457.0,mousemove,//*[@id='rcnt']/div[1]
1677142475815,588,404.0,mouseout,//*[@id='rcnt']/div[1]
1677142475815,588,404.0,mouseover,//*[@id='tads']/div/div/div/div/div[3]/div[2]/h3/div
1677142475815,588,404.0,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[2]/h3/div
1677142475832,424,343.0,mouseout,//*[@id='tads']/div/div/div/div/div[3]/div[2]/h3/div
1677142475832,424,343.0,mouseover,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div
1677142475832,424,343.0,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div
1677142475848,351,327.0,mouseout,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div
1677142475849,351,327.0,mouseover,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div/a
1677142475849,351,327.0,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div/a
1677142475866,311,322.0,mouseout,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div/a
1677142475866,311,322.0,mouseover,//*[@id='tads']/div/div/div/div/div[3]
1677142475866,311,322.0,mousemove,//*[@id='tads']/div/div/div/div/div[3]
1677142475882,295,322.0,mousemove,//*[@id='tads']/div/div/div/div/div[3]
1677142475898,287,322.0,mousemove,//*[@id='tads']/div/div/div/div/div[3]
1677142475915,285,322.0,mousemove,//*[@id='tads']/div/div/div/div/div[3]
1677142475936,283,323.0,mouseout,//*[@id='tads']/div/div/div/div/div[3]
1677142475936,283,323.0,mouseover,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div
1677142475936,283,323.0,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div
1677142475949,282,325.0,mouseout,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div
1677142475949,282,325.0,mouseover,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div/a
1677142475949,282,325.0,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div/a
1677142475965,278,328.0,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div/a
1677142475982,273,340.0,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div/a
1677142475998,268,345.0,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div/a
1677142476016,268,346.0,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div/a
1677142476112,270,347.0,mouseout,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div/a
1677142476112,270,347.0,mouseover,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div
1677142476112,270,347.0,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div
1677142476148,270,348.0,wheel,//*[@id='tads']/div/div/div/div/div[3]/div[1]/div
1677142476149,0,1.1111111640930176,scroll,/
1677142476166,0,6.6666669845581055,scroll,/
1677142476181,270,362.0,wheel,//*[@id='tads']/div/div/div/div/div[3]/div[1]/div
1677142476181,0,14.44444465637207,scroll,/
1677142476198,0,27.77777862548828,scroll,/
1677142476215,270,395.0,mouseout,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div
1677142476215,270,395.0,mouseover,//*[@id='tads']/div/div/div/div/div[3]/div[2]/h3/div/a
1677142476215,270,395.0,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[2]/h3/div/a
1677142476216,0,46.66666793823242,scroll,/
1677142476231,0,71.11111450195312,scroll,/
1677142476248,0,98.8888931274414,scroll,/
1677142476264,0,130.0,scroll,/
1677142476281,0,158.88888549804688,scroll,/
1677142476299,0,184.44444274902344,scroll,/
1677142476315,0,203.33334350585932,scroll,/
1677142476332,270,567.0,mouseout,//*[@id='tads']/div/div/div/div/div[3]/div[2]/h3/div/a
1677142476332,270,567.0,mouseover,//*[@id='tsuid20']/div/div/a[1]/div/div[2]/div[2]
1677142476332,270,567.0,mousemove,//*[@id='tsuid20']/div/div/a[1]/div/div[2]/div[2]
1677142476333,0,215.55555725097656,scroll,/
1677142476349,270,575.0,mousemove,//*[@id='tsuid20']/div/div/a[1]/div/div[2]/div[2]
1677142476349,0,221.11111450195312,scroll,/
1677142476366,270,582.0,mouseout,//*[@id='tsuid20']/div/div/a[1]/div/div[2]/div[2]
1677142476366,270,582.0,mouseover,//*[@id='tsuid20']/div/div/a[1]/div/div[2]/div[3]
1677142476366,270,582.0,mousemove,//*[@id='tsuid20']/div/div/a[1]/div/div[2]/div[3]
1677142476366,0,222.22222900390625,scroll,/
1677142476384,270,588.0,mousemove,//*[@id='tsuid20']/div/div/a[1]/div/div[2]/div[3]
1677142476399,270,591.0,mousemove,//*[@id='tsuid20']/div/div/a[1]/div/div[2]/div[3]
1677142476400,270,591.0,wheel,//*[@id='tsuid20']/div/div/a[1]/div/div[2]/div[3]
1677142476400,0,223.33334350585932,scroll,/
1677142476416,270,597.0,mousemove,//*[@id='tsuid20']/div/div/a[1]/div/div[2]/div[3]
1677142476416,0,228.888900756836,scroll,/
1677142476432,270,607.0,mouseout,//*[@id='tsuid20']/div/div/a[1]/div/div[2]/div[3]
1677142476433,270,607.0,mouseover,//*[@id='tsuid20']/div/div/a[1]/div/div[2]/div[4]/span
1677142476433,270,607.0,mousemove,//*[@id='tsuid20']/div/div/a[1]/div/div[2]/div[4]/span
1677142476433,270,607.0,wheel,//*[@id='tsuid20']/div/div/a[1]/div/div[2]/div[3]
1677142476433,0,237.7777862548828,scroll,/
1677142476448,0,253.33334350585932,scroll,/
1677142476465,270,645.0,wheel,//*[@id='tsuid20']/div/div/a[1]/div/div[2]/div[3]
1677142476465,0,275.5555725097656,scroll,/
1677142476481,0,304.4444580078125,scroll,/
1677142476499,0,341.1111145019531,scroll,/
1677142476515,0,384.4444580078125,scroll,/
1677142476531,0,430.0,scroll,/
1677142476548,0,473.3333435058594,scroll,/
1677142476565,0,510.0,scroll,/
1677142476581,0,535.5555419921875,scroll,/
1677142476599,0,551.1111450195312,scroll,/
1677142476616,0,555.5555419921875,scroll,/
1677142476648,270,926.0,mouseout,//*[@id='tsuid20']/div/div/a[1]/div/div[2]/div[4]/span
1677142476648,270,926.0,mouseover,//*[@id='Odp5De']/div/div/div[2]/div[1]
1677142476648,270,926.0,mousemove,//*[@id='Odp5De']/div/div/div[2]/div[1]
1677142476665,268,927.0,mousemove,//*[@id='Odp5De']/div/div/div[2]/div[1]
1677142476682,268,930.0,mousemove,//*[@id='Odp5De']/div/div/div[2]/div[1]
1677142476699,268,934.0,mousemove,//*[@id='Odp5De']/div/div/div[2]/div[1]
1677142476715,268,943.0,mouseout,//*[@id='Odp5De']/div/div/div[2]/div[1]
1677142476716,268,943.0,mouseover,//*[@id='Odp5De']/div/div/div[2]/div[1]/div[2]/g-more-link
1677142476716,268,943.0,mousemove,//*[@id='Odp5De']/div/div/div[2]/div[1]/div[2]/g-more-link
1677142476732,270,954.0,mousemove,//*[@id='Odp5De']/div/div/div[2]/div[1]/div[2]/g-more-link
1677142476748,274,963.0,mousemove,//*[@id='Odp5De']/div/div/div[2]/div[1]/div[2]/g-more-link
1677142476765,278,974.0,mouseout,//*[@id='Odp5De']/div/div/div[2]/div[1]/div[2]/g-more-link
1677142476765,278,974.0,mouseover,//*[@id='Odp5De']/div/div
1677142476765,278,974.0,mousemove,//*[@id='Odp5De']/div/div
1677142476781,282,984.0,mousemove,//*[@id='Odp5De']/div/div
1677142476798,288,993.0,mousemove,//*[@id='Odp5De']/div/div
1677142476815,294,1003.0,mousemove,//*[@id='Odp5De']/div/div
1677142476832,298,1011.0,mouseout,//*[@id='Odp5De']/div/div
1677142476832,298,1011.0,mouseover,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div/a/div
1677142476832,298,1011.0,mousemove,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div/a/div
1677142476849,304,1022.0,mouseout,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div/a/div
1677142476849,304,1022.0,mouseover,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div/a/div/cite
1677142476849,304,1022.0,mousemove,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div/a/div/cite
1677142476864,307,1026.0,mousemove,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div/a/div/cite
1677142476881,308,1031.0,mouseout,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div/a/div/cite
1677142476881,308,1031.0,mouseover,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div/a/div
1677142476881,308,1031.0,mousemove,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div/a/div
1677142476898,312,1036.0,mouseout,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div/a/div
1677142476898,312,1036.0,mouseover,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div/a/h3
1677142476898,312,1036.0,mousemove,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div/a/h3
1677142476915,315,1041.0,mousemove,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div/a/h3
1677142476932,320,1047.0,mousemove,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div/a/h3
1677142476948,325,1055.0,mousemove,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div/a/h3
1677142476966,331,1063.0,mouseout,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div/a/h3
1677142476966,331,1063.0,mouseover,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div
1677142476966,331,1063.0,mousemove,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div
1677142476981,337,1073.0,mouseout,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[1]/div
1677142476981,337,1073.0,mouseover,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[2]/div/span
1677142476981,337,1073.0,mousemove,//*[@id='rso']/div[1]/div/div[1]/div/div/div[1]/div[2]/div/span
