timestamp,xpos,ypos,event,xpath
1675246166400,0,0,load,/
1675246166400,0,0,pageshow,/
1675246166668,667,237,mouseover,//*[@id='platop3']
1675246166668,667,237,mousemove,//*[@id='platop3']
1675246166707,666,237,mousemove,//*[@id='platop3']
1675246167073,666,238,mousemove,//*[@id='platop3']
1675246167090,666,240,mousemove,//*[@id='platop3']
1675246167107,666,241,mousemove,//*[@id='platop3']
1675246167123,665,242,mousemove,//*[@id='platop3']
1675246167142,664,244,mousemove,//*[@id='platop3']
1675246167157,663,246,mousemove,//*[@id='platop3']
1675246167173,661,248,mousemove,//*[@id='platop3']
1675246167190,658,254,mousemove,//*[@id='platop3']
1675246167207,652,261,mousemove,//*[@id='platop3']
1675246167223,643,272,mousemove,//*[@id='platop3']
1675246167240,633,283,mousemove,//*[@id='platop3']
1675246167257,622,293,mousemove,//*[@id='platop3']
1675246167274,612,305,mousemove,//*[@id='platop3']
1675246167291,598,320,mousemove,//*[@id='platop3']
1675246167307,586,335,mouseout,//*[@id='platop3']
1675246167307,586,335,mouseover,//*[@id='_U16iYur7N-us4-EPh_au6AU17']/div[1]/div/div/div[1]/div[4]
1675246167307,586,335,mousemove,//*[@id='_U16iYur7N-us4-EPh_au6AU17']/div[1]/div/div/div[1]/div[4]
1675246167324,567,357,mouseout,//*[@id='_U16iYur7N-us4-EPh_au6AU17']/div[1]/div/div/div[1]/div[4]
1675246167324,567,357,mouseover,//*[@id='vplap2']
1675246167325,567,357,mousemove,//*[@id='vplap2']
1675246167340,554,373,mouseout,//*[@id='vplap2']
1675246167340,554,373,mouseover,//*[@id='vplaurlt2']/span
1675246167340,554,373,mousemove,//*[@id='vplaurlt2']/span
1675246167357,547,381,mousemove,//*[@id='vplaurlt2']/span
1675246167374,531,403,mouseout,//*[@id='vplaurlt2']/span
1675246167374,531,403,mouseover,//*[@id='vplap2']
1675246167374,531,403,mousemove,//*[@id='vplap2']
1675246167390,524,415,mousemove,//*[@id='vplap2']
1675246167407,512,430,mousemove,//*[@id='vplap2']
1675246167423,503,442,mousemove,//*[@id='vplap2']
1675246167440,491,458,mouseout,//*[@id='vplap2']
1675246167440,491,458,mouseover,//*[@id='_U16iYur7N-us4-EPh_au6AU17']/div[1]/div/div/div[1]/div[3]/div[1]/div[3]/div[2]/div[2]/div/a/span[1]/span/span
1675246167440,491,458,mousemove,//*[@id='_U16iYur7N-us4-EPh_au6AU17']/div[1]/div/div/div[1]/div[3]/div[1]/div[3]/div[2]/div[2]/div/a/span[1]/span/span
1675246167457,482,476,mouseout,//*[@id='_U16iYur7N-us4-EPh_au6AU17']/div[1]/div/div/div[1]/div[3]/div[1]/div[3]/div[2]/div[2]/div/a/span[1]/span/span
1675246167457,482,476,mouseover,//*[@id='_U16iYur7N-us4-EPh_au6AU17']/div[1]/div/div/div[1]/div[3]/div[1]/div[3]/div[2]/div[3]/div/a/div
1675246167457,482,476,mousemove,//*[@id='_U16iYur7N-us4-EPh_au6AU17']/div[1]/div/div/div[1]/div[3]/div[1]/div[3]/div[2]/div[3]/div/a/div
1675246167473,474,492,mouseout,//*[@id='_U16iYur7N-us4-EPh_au6AU17']/div[1]/div/div/div[1]/div[3]/div[1]/div[3]/div[2]/div[3]/div/a/div
1675246167474,474,492,mouseover,//*[@id='vplap2']
1675246167474,474,492,mousemove,//*[@id='vplap2']
1675246167490,468,510,mouseout,//*[@id='vplap2']
1675246167490,468,510,mouseover,//*[@id='tvcap']/div[1]
1675246167490,468,510,mousemove,//*[@id='tvcap']/div[1]
1675246167507,464,523,mouseout,//*[@id='tvcap']/div[1]
1675246167507,464,523,mouseover,//*[@id='tads']/div/div/div/div/div[1]
1675246167507,464,523,mousemove,//*[@id='tads']/div/div/div/div/div[1]
1675246167523,458,541,mousemove,//*[@id='tads']/div/div/div/div/div[1]
1675246167540,450,564,mouseout,//*[@id='tads']/div/div/div/div/div[1]
1675246167540,450,564,mouseover,//*[@id='tads']/div/div/div/div/div[1]/a/div[1]/span
1675246167540,450,564,mousemove,//*[@id='tads']/div/div/div/div/div[1]/a/div[1]/span
1675246167557,446,580,mouseout,//*[@id='tads']/div/div/div/div/div[1]/a/div[1]/span
1675246167557,446,580,mouseover,//*[@id='tads']/div/div/div/div/div[2]/div/div
1675246167557,446,580,mousemove,//*[@id='tads']/div/div/div/div/div[2]/div/div
1675246167574,444,597,mousemove,//*[@id='tads']/div/div/div/div/div[2]/div/div
1675246167590,444,617,mouseout,//*[@id='tads']/div/div/div/div/div[2]/div/div
1675246167590,444,617,mouseover,//*[@id='tads']/div/div/div/div/w-ad-seller-rating/div/div
1675246167590,444,617,mousemove,//*[@id='tads']/div/div/div/div/w-ad-seller-rating/div/div
1675246167607,444,632,mouseout,//*[@id='tads']/div/div/div/div/w-ad-seller-rating/div/div
1675246167607,444,632,mouseover,//*[@id='tads']/div/div/div/div/div[3]
1675246167607,444,632,mousemove,//*[@id='tads']/div/div/div/div/div[3]
1675246167623,444,645,mouseout,//*[@id='tads']/div/div/div/div/div[3]
1675246167623,444,645,mouseover,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div
1675246167624,444,645,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div
1675246167640,444,655,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div
1675246167656,444,660,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div
1675246167673,444,665,mouseout,//*[@id='tads']/div/div/div/div/div[3]/div[1]/h3/div
1675246167673,444,665,mouseover,//*[@id='tads']/div/div/div/div/div[3]/div[1]/div
1675246167674,444,665,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[1]/div
1675246167690,446,674,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[1]/div
1675246167707,451,685,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[1]/div
1675246167724,452,693,mouseout,//*[@id='tads']/div/div/div/div/div[3]/div[1]/div
1675246167724,452,693,mouseover,//*[@id='tads']/div/div/div/div/div[3]/div[1]
1675246167725,452,693,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[1]
1675246167740,455,703,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[1]
1675246167757,455,706,mouseout,//*[@id='tads']/div/div/div/div/div[3]/div[1]
1675246167757,455,706,mouseover,//*[@id='tads']/div/div/div/div/div[3]/div[2]/h3/div
1675246167757,455,706,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[2]/h3/div
1675246167773,455,713,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[2]/h3/div
1675246167790,456,723,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[2]/h3/div
1675246167807,456,731,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[2]/h3/div
1675246167824,456,736,mouseout,//*[@id='tads']/div/div/div/div/div[3]/div[2]/h3/div
1675246167824,456,736,mouseover,//*[@id='tads']/div/div/div/div/div[3]/div[2]/div
1675246167824,456,736,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[2]/div
1675246167840,457,743,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[2]/div
1675246167856,460,748,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[2]/div
1675246167873,460,752,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[2]/div
1675246167890,461,754,mousemove,//*[@id='tads']/div/div/div/div/div[3]/div[2]/div
1675246167908,462,756,mouseout,//*[@id='tads']/div/div/div/div/div[3]/div[2]/div
1675246167908,462,756,mouseover,//*[@id='tads']/div/div/div/div/div[3]
1675246167908,462,756,mousemove,//*[@id='tads']/div/div/div/div/div[3]
1675246167939,463,757,mousemove,//*[@id='tads']/div/div/div/div/div[3]
1675246167957,463,755,mousemove,//*[@id='tads']/div/div/div/div/div[3]
1675246168636,463,758,mouseout,//*[@id='tads']/div/div/div/div/div[3]
1675246168636,463,758,mouseover,//*[@id='center_col']
1675246168636,463,758,mousemove,//*[@id='center_col']
1675246168643,463,761,mousemove,//*[@id='center_col']
1675246168656,463,763,mousemove,//*[@id='center_col']
1675246168673,463,765,mousemove,//*[@id='center_col']
1675246168689,463,770,mousemove,//*[@id='center_col']
1675246168706,463,772,mousemove,//*[@id='center_col']
1675246168723,462,776,mousemove,//*[@id='center_col']
1675246168740,462,777,mousemove,//*[@id='center_col']
1675246168756,460,782,mousemove,//*[@id='center_col']
1675246168773,458,788,mouseout,//*[@id='center_col']
1675246168773,458,788,mouseover,//*[@id='rso']/div[1]/div/div/div[1]/div/div[1]/a/div
1675246168773,458,788,mousemove,//*[@id='rso']/div[1]/div/div/div[1]/div/div[1]/a/div
1675246168789,457,794,mouseout,//*[@id='rso']/div[1]/div/div/div[1]/div/div[1]/a/div
1675246168789,457,794,mouseover,//*[@id='rso']/div[1]/div/div/div[1]/div/div[1]/a/div/cite/span
1675246168790,457,794,mousemove,//*[@id='rso']/div[1]/div/div/div[1]/div/div[1]/a/div/cite/span
1675246168807,453,807,mouseout,//*[@id='rso']/div[1]/div/div/div[1]/div/div[1]/a/div/cite/span
1675246168807,453,807,mouseover,//*[@id='rso']/div[1]/div/div/div[1]/div/div[1]/a/div
1675246168807,453,807,mousemove,//*[@id='rso']/div[1]/div/div/div[1]/div/div[1]/a/div
1675246168823,444,823,mouseout,//*[@id='rso']/div[1]/div/div/div[1]/div/div[1]/a/div
1675246168823,444,823,mouseover,//*[@id='rso']/div[1]/div/div/div[1]/div/div[1]/a/h3
1675246168823,444,823,mousemove,//*[@id='rso']/div[1]/div/div/div[1]/div/div[1]/a/h3
1675246168839,432,844,mouseout,//*[@id='rso']/div[1]/div/div/div[1]/div/div[1]/a/h3
1675246168840,432,844,mouseover,//*[@id='rso']/div[1]/div/div/div[1]/div/div[2]/div[1]/span/em[1]
