timestamp,xpos,ypos,event,xpath
1671206635668,0,0.0,load,/
1671206635668,0,0.0,pageshow,/
1671206637126,712,158.0,mouseover,//*[@id='slim_appbar']/div
1671206637126,712,158.0,mousemove,//*[@id='slim_appbar']/div
1671206637141,711,158.0,mousemove,//*[@id='slim_appbar']/div
1671206644014,710,158.0,mousemove,//*[@id='slim_appbar']/div
1671206644031,710,160.0,mousemove,//*[@id='slim_appbar']/div
1671206644049,708,161.0,mousemove,//*[@id='slim_appbar']/div
1671206644078,707,162.0,mousemove,//*[@id='slim_appbar']/div
1671206644086,706,162.0,mousemove,//*[@id='slim_appbar']/div
1671206644097,704,162.0,mousemove,//*[@id='slim_appbar']/div
1671206644114,695,166.0,mousemove,//*[@id='slim_appbar']/div
1671206644131,686,170.0,mousemove,//*[@id='slim_appbar']/div
1671206644147,681,173.0,mousemove,//*[@id='slim_appbar']/div
1671206644164,675,175.0,mouseout,//*[@id='slim_appbar']/div
1671206644164,675,175.0,mouseover,//*[@id='center_col']
1671206644164,675,175.0,mousemove,//*[@id='center_col']
1671206644182,670,182.0,mouseout,//*[@id='center_col']
1671206644182,670,182.0,mouseover,//*[@id='rso']/div[1]/div/div[1]/div
1671206644182,670,182.0,mousemove,//*[@id='rso']/div[1]/div/div[1]/div
1671206644198,656,197.0,mousemove,//*[@id='rso']/div[1]/div/div[1]/div
1671206644214,625,237.0,mouseout,//*[@id='rso']/div[1]/div/div[1]/div
1671206644214,625,237.0,mouseover,//*[@id='rso']/div[1]/div/div[2]/div
1671206644214,625,237.0,mousemove,//*[@id='rso']/div[1]/div/div[2]/div
1671206644231,596,278.0,mousemove,//*[@id='rso']/div[1]/div/div[2]/div
1671206644247,576,313.0,mouseout,//*[@id='rso']/div[1]/div/div[2]/div
1671206644248,576,313.0,mouseover,//*[@id='rso']
1671206644248,576,313.0,mousemove,//*[@id='rso']
1671206644264,565,334.0,mouseout,//*[@id='rso']
1671206644264,565,334.0,mouseover,//*[@id='rso']/div[2]/div/div/div[1]/div/div[1]
1671206644265,565,334.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[1]
1671206644281,556,354.0,mouseout,//*[@id='rso']/div[2]/div/div/div[1]/div/div[1]
1671206644282,556,354.0,mouseover,//*[@id='rso']/div[2]/div/div/div[1]/div/div[1]/a/h3
1671206644282,556,354.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[1]/a/h3
1671206644302,546,377.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[1]/a/h3
1671206644315,544,384.0,mouseout,//*[@id='rso']/div[2]/div/div/div[1]/div/div[1]/a/h3
1671206644315,544,384.0,mouseover,//*[@id='rso']/div[2]/div/div/div[1]/div/div[1]
1671206644315,544,384.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[1]
1671206644331,541,390.0,mouseout,//*[@id='rso']/div[2]/div/div/div[1]/div/div[1]
1671206644331,541,390.0,mouseover,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]/em[1]
1671206644331,541,390.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]/em[1]
1671206644347,540,393.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]/em[1]
1671206644365,538,395.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]/em[1]
1671206644381,537,397.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]/em[1]
1671206644470,536,397.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]/em[1]
1671206644493,535,397.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]/em[1]
1671206644530,533,398.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]/em[1]
1671206644550,532,398.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]/em[1]
1671206644574,531,398.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]/em[1]
1671206644582,530,398.0,mouseout,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]/em[1]
1671206644582,530,398.0,mouseover,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206644582,530,398.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206644597,528,398.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206644614,526,400.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206644631,525,400.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206644681,523,400.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206644697,523,401.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206644748,522,401.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206644990,521,401.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206645054,518,401.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206645070,517,401.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206645085,515,401.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206645097,512,401.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206645114,510,401.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206645130,505,401.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206645147,503,401.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206645164,502,401.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206645182,501,401.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206645206,500,401.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206645222,500,400.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206645246,498,400.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
1671206645254,497,400.0,mousemove,//*[@id='rso']/div[2]/div/div/div[1]/div/div[2]/div[1]/span[2]
